index,x_m,y_m,z_m
81,115.59318436873795,115.59218436873805,50.60421655711424
82,116.39679158316683,116.39579158316694,50.62003476152306
83,117.20039879759567,117.19939879759576,50.635852965931875
84,118.00400601202455,118.00300601202466,50.65167117034069
85,118.80761322645341,118.80661322645352,50.66748937474951
86,119.61122044088228,119.61022044088237,50.68330757915833
87,120.41482765531114,120.41382765531124,50.69912578356715
88,121.21843486974,121.21743486974012,50.71494398797596
89,122.02204208416886,122.02104208416897,50.73076219238478
90,122.82564929859774,122.82464929859783,50.74658039679361
91,123.62925651302658,123.6282565130267,50.76239860120241
92,124.43286372745547,124.43186372745559,50.77821680561123
93,125.23647094188432,125.23547094188443,50.802847638033604
94,126.0400781563132,126.03907815631331,50.84371053707417
95,126.84368537074205,126.84268537074216,50.88571347895795
96,127.6472925851709,127.64629258517101,50.927716420841726
97,128.45089979959974,128.44989979959985,50.969719362725485
98,129.25450701402863,129.25350701402874,51.01172230460925
99,130.05811422845747,130.0571142284576,51.05372524649302
100,130.86172144288633,130.86072144288647,51.09572818837679
101,131.6653286573152,131.66432865731534,51.13773113026056
102,132.46893587174407,132.46793587174417,51.17973407214432
103,133.27254308617296,133.27154308617307,51.221737014028086
104,134.0761503006018,134.0751503006019,51.26373995591186
105,134.87975751503066,134.87875751503077,51.305742897795625
106,135.68336472945953,135.68236472945964,51.34774583967939
107,136.48697194388836,136.4859719438885,51.38974878156316
108,137.29057915831723,137.28957915831737,51.431751723446936
109,138.0941863727461,138.09318637274623,51.4737546653307
110,138.89779358717496,138.89679358717507,51.51575760721447
111,139.70140080160382,139.70040080160396,51.55776054909825
112,140.5050080160327,140.5040080160328,51.599763490982006
113,141.30861523046153,141.30761523046166,51.641766432865765
114,142.11222244489042,142.11122244489053,51.68376937474953
115,142.9158296593193,142.91482965931942,51.7257723166333
116,143.71943687374812,143.71843687374826,51.76777525851706
117,144.523044088177,144.5220440881771,51.80977820040084
118,145.32665130260585,145.32565130260602,51.851781142284615
119,146.1302585170347,146.12925851703483,51.893784084168374
120,146.93386573146356,146.93286573146372,51.93578702605213
121,147.73747294589245,147.73647294589256,51.977789967935905
122,148.54108016032126,148.5400801603214,52.01979290981967
123,149.34468737475018,149.3436873747503,52.061795851703444
124,150.14829458917902,150.14729458917913,52.103747445873765
125,150.95190180360788,150.95090180360802,52.1596164368738
